titulo,url,preco,tipo,bairro,cidade,estado,cep,quartos,banheiros,garagens,area_m2,descricao,imagens
PRÉDIO PARA LOCAÇÃO NO CRISTO REDENTOR,https://pb.olx.com.br/paraiba/comercio-e-industria/predio-para-locacao-no-cristo-redentor-1485431274,10000.0,Imóvel,,João Pessoa,PB,58070-000,,,,280.0,"Código do anúncio: 34552 ALUGO PRÉDIO COMERCIAL  AV. 2 DE FEVEREIRO    Localização privilegiada  280m² no térreo + 280m² no 1º andar (total 560m²)  Valor de locação: R$ 10.000    Ideal para empresas, escritórios, clínicas ou comércios em geral!   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou .   CAP: Pedro Soares PS Imóveis | CRECI 799-J    Código do Anúncio: 5296_34552",https://img.olx.com.br/images/10/103621265965608.jpg | https://img.olx.com.br/images/58/582632381840473.jpg | https://img.olx.com.br/images/10/106692506898871.jpg | https://img.olx.com.br/images/16/168679868803270.jpg | https://img.olx.com.br/images/84/848630147079414.jpg | https://img.olx.com.br/images/67/678658623008645.jpg | https://img.olx.com.br/images/85/858685621543336.jpg | https://img.olx.com.br/images/77/771620029388356.jpg | https://img.olx.com.br/images/18/189644261495718.jpg | https://img.olx.com.br/images/23/238646146085867.jpg | https://img.olx.com.br/images/63/639676620813822.jpg | https://img.olx.com.br/images/11/110654507523520.jpg | https://img.olx.com.br/images/26/265663864022087.jpg | https://img.olx.com.br/images/86/869669149465654.jpg | https://img.olx.com.br/images/26/266638502317616.jpg | https://img.olx.com.br/images/86/868690509182319.jpg | https://img.olx.com.br/images/85/852629385291249.jpg | https://img.olx.com.br/images/76/768644264810687.jpg | https://img.olx.com.br/images/48/482659500054787.jpg | https://img.olx.com.br/images/80/800667263972252.jpg
CASA TEMPORADA CONDOMINIO SONHOS DA SERRA BANANEIRAS-PB,https://pb.olx.com.br/paraiba/imoveis/casa-temporada-condominio-sonhos-da-serra-bananeiras-pb-1485431275,2500.0,Casa,Bananeiras13 de mar,07:14,,,,,,3520.0,,
Galpão à Venda / Bayeux,https://pb.olx.com.br/paraiba/comercio-e-industria/galpao-a-venda-bayeux-1485431263,3200000.0,Galpão,,Bayeux,PB,58110-160,,,,4.0,"Código do anúncio: 34606 Galpão à Venda  Av. Liberdade / Bayeux   ** Área total do terreno: 4.000 m² ** Área construída (galpão coberto): 1.900 m² ** Pé-direito: 9 metros ** Estrutura: 8 salas administrativas ** Escritório     Valor de venda: R$ 3.200.000,00  Localizado em Bayeux, na Av. Liberdade  excelente ponto estratégico para logística, distribuição ou indústrias.   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou .   CAP: Pedro Soares PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_34606",https://img.olx.com.br/images/82/823616384301011.jpg | https://img.olx.com.br/images/85/854624385510267.jpg | https://img.olx.com.br/images/15/155612740888582.jpg | https://img.olx.com.br/images/82/823671866390726.jpg | https://img.olx.com.br/images/14/143607865161798.jpg | https://img.olx.com.br/images/72/723693140787118.jpg | https://img.olx.com.br/images/58/588622145607559.jpg | https://img.olx.com.br/images/24/240632147676380.jpg | https://img.olx.com.br/images/13/139603502821465.jpg | https://img.olx.com.br/images/79/799620500970287.jpg | https://img.olx.com.br/images/95/951643145399568.jpg | https://img.olx.com.br/images/24/248670265716717.jpg
Lançamento Domus Jardins - Apartamentos de Alto Padrão à venda | Manaíra,https://pb.olx.com.br/paraiba/imoveis/lancamento-domus-jardins-apartamentos-de-alto-padrao-a-venda-manaira-1485431230,2345000.0,Apartamento,,João Pessoa,PB,58038-151,3.0,,,165.0,"Código do anúncio: 34702 Lançamento Domus Jardins Apartamentos à venda com valores a partir de R$ 2.345.000,00 até R$ 6.833.000,00 Áreas privativas de 165 m² a 340 m² Vagas de garagem: de 2 a 4 (dependendo da unidade)  Pavimento Tipo 01 e 02 (02 apartamentos por andar) 3 suítes Closet Sala de estar Sala de jantar Varanda Cozinha Área de serviço Home office Depósito  Pavimento Tipo 03 (01 apartamento por andar) 5 suítes Closet Sala de estar Sala de jantar Cozinha Área de serviço Hall privativo Despensa Varanda Depósito  Pavimento Domus Infinity (01 apartamento por andar  fachada em pele de vidro) 5 suítes Closet Sala de estar Sala de jantar Cozinha Área de serviço Hall privativo Despensa Varanda Depósito  Área de Lazer Completa Piscina Sauna Hidroterapia Espaço Fitness Pérgola Gourmet Lounge Gourmet Espaço Festas Espaço Kids e Kids Park Quadra Recreativa Horta Coletiva Mezanino As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou    CAP: Gabriel Mendes PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_34702",https://img.olx.com.br/images/34/342668384878374.jpg | https://img.olx.com.br/images/57/577680505243340.jpg | https://img.olx.com.br/images/83/830634140760286.jpg | https://img.olx.com.br/images/11/117624261430716.jpg | https://img.olx.com.br/images/82/829619144857432.jpg | https://img.olx.com.br/images/74/749687142128145.jpg | https://img.olx.com.br/images/64/645657624475996.jpg | https://img.olx.com.br/images/51/519621261395046.jpg | https://img.olx.com.br/images/96/960653141838767.jpg | https://img.olx.com.br/images/15/154640266304160.jpg | https://img.olx.com.br/images/61/610609142523367.jpg | https://img.olx.com.br/images/51/513657740242801.jpg | https://img.olx.com.br/images/84/841624384087488.jpg | https://img.olx.com.br/images/84/847602623602443.jpg | https://img.olx.com.br/images/51/513625507385437.jpg | https://img.olx.com.br/images/51/516669629493621.jpg | https://img.olx.com.br/images/54/545649623684266.jpg | https://img.olx.com.br/images/63/636671261950942.jpg | https://img.olx.com.br/images/95/954603504884614.jpg | https://img.olx.com.br/images/75/751653148857478.jpg
"Loja 5 para Locação, Valor R$ 900/mês - Centro, Bananeiras - PB",https://pb.olx.com.br/paraiba/comercio-e-industria/loja-5-para-locacao-valor-r-900-mes-centro-bananeiras-pb-1485431256,900.0,Loja,,Bananeiras,PB,58220-000,,,,,"Código do anúncio: 33235 Loja 5: 900,00 locação, contrato anual.    Obs. a galeria oferece 1 lavado compartilhado assim como o hall de entrada   Valor atualizado  Valor sujeito a alterações sem aviso prévio   Fale conosco por Ligação ou via WhatsApp :  Pedro Soares Imoveis creci 799J     https://wa.me/ Acompanhe nossa redes sociais e fique por dentro de todas as novidades:   Instagram: @pedrosoaresimoveis captação:  Cida Araujo  Código do Anúncio: 5296_33235",https://img.olx.com.br/images/25/256688864182386.jpg | https://img.olx.com.br/images/81/810611144774066.jpg | https://img.olx.com.br/images/22/223674268947256.jpg | https://img.olx.com.br/images/21/217666149681600.jpg | https://img.olx.com.br/images/59/596673026405624.jpg
"Loja 01 para Locação, Valor R$ 1.300,00/mês - Centro, Bananeiras - PB",https://pb.olx.com.br/paraiba/comercio-e-industria/loja-01-para-locacao-valor-r-1-300-00-mes-centro-bananeiras-pb-1485431218,1300.0,Loja,,Bananeiras,PB,58220-000,,,,16.0,"Código do anúncio: 33234 Área de 16 m² loja 1 valor 1.300,00 locação, contrato anual.    A sala numero 1 fica de frente para a avenida e oferece um espaço maior e possui um lavabo individual.   Valor atualizado  Valor sujeito a alterações sem aviso prévio   Fale conosco por Ligação ou via WhatsApp :  Pedro Soares Imoveis creci 799J     https://wa.me/ Acompanhe nossa redes sociais e fique por dentro de todas as novidades:   Instagram: @pedrosoaresimoveis captação:  Cida Araujo  Código do Anúncio: 5296_33234",https://img.olx.com.br/images/76/766615740155103.jpg | https://img.olx.com.br/images/97/977647620072145.jpg | https://img.olx.com.br/images/17/176661620314941.jpg | https://img.olx.com.br/images/77/776604505881804.jpg | https://img.olx.com.br/images/52/526649626162234.jpg
CASA A VENDA CENTRO NOVO BINARIO CENTRO DE SOLANEA-PB,https://pb.olx.com.br/paraiba/imoveis/casa-a-venda-centro-novo-binario-centro-de-solanea-pb-1485431220,250000.0,Casa,,Solânea,PB,58225-000,3.0,2.0,1.0,195.2,"Código do anúncio: 34179 CASA A VENDA NOVO BINARIO CENTRO DE SOLANEA -PB    MEDIDAS 6,40 FRENTE X 30,50 FUNDOS  (ÁREA TOTAL 195,20M²)   1 VAGA DE GARAGEM 3 QUARTOS SALA COZINHA AREA DE SEVIÇO 2 WC QUINTAL GRANDE   INFORMAÇÕES  CIDA ARAÚJO CORRETORA CRECI-9436 / CAPTAÇÃO    Código do Anúncio: 5296_34179 Este imóvel tem as seguintes características:  Serviços Próximos: Academias de ginástica, Açougue, Avenida, Banco, Bistrô com adega, Cursinho, Escola 1º Grau, Escola 2º Grau, Faculdade, Farmácia, Feiras, Hospital, Igreja Católica , Igreja Evangélica, Lojas, Mercado, Mini Campo, Panificadora, Pizzaria, Ponto de circular, Posto de Gasolina, Praça/Parque, Restaurante, Sacolão, Sorveteria",https://img.olx.com.br/images/93/939669381656083.jpg | https://img.olx.com.br/images/52/529606144543963.jpg | https://img.olx.com.br/images/76/763632621526201.jpg | https://img.olx.com.br/images/58/583669745195640.jpg | https://img.olx.com.br/images/81/810627501740330.jpg | https://img.olx.com.br/images/17/173697749844227.jpg | https://img.olx.com.br/images/11/118625385875794.jpg | https://img.olx.com.br/images/14/149662266288384.jpg | https://img.olx.com.br/images/48/485653624254622.jpg | https://img.olx.com.br/images/72/729624622499300.jpg | https://img.olx.com.br/images/52/526664508507533.jpg | https://img.olx.com.br/images/45/457678502226412.jpg | https://img.olx.com.br/images/93/930693501237926.jpg | https://img.olx.com.br/images/45/450622626813665.jpg | https://img.olx.com.br/images/71/719691507981354.jpg
CASA DUPLEX COM 98m² NO JOSÉ AMÉRICO À VENDA,https://pb.olx.com.br/paraiba/imoveis/casa-duplex-com-98m-no-jose-americo-venda-1485431217,550000.0,Casa,,João Pessoa,PB,58073-010,3.0,,1.0,98.0,"Código do anúncio: 35003 Casa duplex a venda em ótima localização no José Américo   Lote 10 X 20 98 M2 DE ÁREA CONSTRUÍDA; SALA ampla 03 QUARTOS COM 2 SUÍTES  PISCINA COZINHA INTEGRADA  ESPAÇO GORMET  ÁREA DE SERVIÇO; 01 VAGA RUA CALÇADA   R$ 550.000,00    As informações e condições deste imóvel, estão sujeitos às alterações sem aviso prévio.  Ligue agora e garanta: PS Imóveis CRECI 779-J . . Cap.Silvio Romero  Código do Anúncio: 5296_35003",https://img.olx.com.br/images/58/583653267317476.jpg | https://img.olx.com.br/images/75/757686023962450.jpg | https://img.olx.com.br/images/29/298679743658937.jpg | https://img.olx.com.br/images/72/729604144777186.jpg | https://img.olx.com.br/images/37/378655022675643.jpg | https://img.olx.com.br/images/78/787692749305997.jpg | https://img.olx.com.br/images/83/836655023865880.jpg | https://img.olx.com.br/images/74/744638146882876.jpg | https://img.olx.com.br/images/58/581648268075574.jpg
Apartamento para venda | Jardim Oceania,https://pb.olx.com.br/paraiba/imoveis/apartamento-para-venda-jardim-oceania-1485431219,890000.0,Apartamento,,João Pessoa,PB,58037-640,3.0,4.0,,113.0,"Código do anúncio: 34597 Apartamento à Venda  Jardim Oceania | Porteira Fechada (exceto alguns móveis de valor sentimental)   ** Palestri Itália  Prédio de esquina **113m² bem distribuídos: 3 quartos (2 suítes) Banheiro social Dependência de funcionária + banheiro (total 4 banheiros)  Sala ampla com sacada e ótima ventilação  Cozinha espaçosa, ideal para quem ama cozinhar  Suíte principal com varanda privativa e vista definitiva para o mar   Diferencial exclusivo: Vaga de garagem para até 3 carros, com portão independente.  Condomínio completo: Piscina Área externa Elevador Segurança 24h  Localização privilegiada: No coração do Jardim Oceania, em frente às famosas piscinas naturais  um dos cenários mais lindos e valorizados de João Pessoa.  Condomínio: R$ 900,00 (água inclusa)  Valor: R$ 890.000,00   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou . CAP: Gabriel Mendes PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_34597",https://img.olx.com.br/images/46/465606265525758.jpg | https://img.olx.com.br/images/80/800605022217401.jpg | https://img.olx.com.br/images/90/904608145318175.jpg | https://img.olx.com.br/images/56/560628622625110.jpg | https://img.olx.com.br/images/56/561675149674757.jpg | https://img.olx.com.br/images/88/887675867422565.jpg | https://img.olx.com.br/images/32/321642621410185.jpg | https://img.olx.com.br/images/51/512641383258861.jpg | https://img.olx.com.br/images/97/979620387055549.jpg | https://img.olx.com.br/images/47/476646384171493.jpg | https://img.olx.com.br/images/92/921691741151226.jpg | https://img.olx.com.br/images/46/464682745970054.jpg | https://img.olx.com.br/images/42/424676021207691.jpg
Lançamento Apartamentos à venda Resifencial Soft,https://pb.olx.com.br/paraiba/imoveis/lancamento-apartamentos-a-venda-resifencial-soft-1485431197,399950.0,Apartamento,,João Pessoa,PB,58035-110,1.0,,1.0,59.25,"Código do anúncio: 34398 Soft Lançamento Apartamentos à venda Localização: Bessa  João Pessoa/PB Previsão de entrega: Agosto/202 ---  Áreas Comuns Térreo  Recepção e Lobby  Eclusa Delivery  Playground  Bicicletário Mezanino  Salão de festas com cozinha  Minimercado  Coworking com sala de reuniões  Lavanderia compartilhada Rooftop  Piscina  Terraço gourmet com churrasqueira e TV  Academia equipada   ---  Utimas Unidades APT  102  59,25 m² * 01 Suíte + 02 Quarto * Sala de jantar/estar * Cozinha * Varanda * WC Social * 01 vaga de garagem Valor: R$ 537.928,14 --- APT  103 82,20 m² * 01 Suíte + 03 Quartos * Sala de jantar/estar * Cozinha * Varanda integrada * WC Social * 01  vagas de garagem Valor: R$ 689.511,72 --- APT  103 82,20 m² * 01 Suíte + 03 Quartos * Sala de jantar/estar * Cozinha * Varanda integrada * WC Social * 01  vagas de garagem Valor: R$ R$ 723.114,09 --- APT  1004  38,23 m² * 01 Quartos * Sala de jantar/estar * Cozinha * WC Social * 01  vagas de garagem Valor: R$ 399.950,00      O Soft Living é um condomínio que aposta em praticidade e bem-estar, unindo apartamentos compactos e funcionais a uma área de lazer completa no rooftop, além de diferenciais como minimercado, coworking e lavanderia compartilhada.   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou . CAP: Pedro Soares PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_34398",https://img.olx.com.br/images/57/579629509703010.jpg | https://img.olx.com.br/images/96/963683260447663.jpg | https://img.olx.com.br/images/61/611646748553758.jpg | https://img.olx.com.br/images/66/664629147426226.jpg | https://img.olx.com.br/images/81/811651262312152.jpg | https://img.olx.com.br/images/93/935680262921621.jpg | https://img.olx.com.br/images/63/633654029637944.jpg | https://img.olx.com.br/images/52/523627629202604.jpg | https://img.olx.com.br/images/12/125696620629621.jpg | https://img.olx.com.br/images/99/993612748183468.jpg | https://img.olx.com.br/images/76/764632267880711.jpg | https://img.olx.com.br/images/97/977689625701027.jpg | https://img.olx.com.br/images/51/514696142865779.jpg | https://img.olx.com.br/images/67/673615865954509.jpg | https://img.olx.com.br/images/46/462625142094182.jpg | https://img.olx.com.br/images/93/937639140849786.jpg | https://img.olx.com.br/images/86/865662629239297.jpg | https://img.olx.com.br/images/70/705619749845396.jpg
"Casa à Venda  Condomínio Cerejeiras, Bananeiras-PB",https://pb.olx.com.br/paraiba/imoveis/casa-a-venda-condominio-cerejeiras-bananeiras-pb-1485431205,680000.0,Casa,,Bananeiras,PB,58220-000,3.0,,,175.0,"Código do anúncio: 34455 Casa à Venda  Condomínio Cerejeiras, Bananeiras-PB    Casa nova, moderna e cheia de estilo!    Área construída: aprox. 175 m²  Valor: R$ 680.000,00 (negociável)   Características do imóvel:   3 suítes amplas Lavabo Sala com pé direito duplo Projeto de iluminação 100% em LED com lustre de destaque Cisterna Casa nova, sem mobília Localizada em um dos condomínios mais desejados de Bananeiras, ideal para quem busca conforto, segurança e qualidade de vida.  Entre em contato para agendar uma visita! As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio.Ligue agora e garanta:  ou .PS Imóveis | CRECI 799-J   Cap: Cida Araújo corretora CRECI 9436 PS   Código do Anúncio: 5296_34455",https://img.olx.com.br/images/86/860607386673241.jpg | https://img.olx.com.br/images/76/765676388468124.jpg | https://img.olx.com.br/images/63/632638269271398.jpg | https://img.olx.com.br/images/52/525680261010848.jpg | https://img.olx.com.br/images/57/573686261548487.jpg | https://img.olx.com.br/images/56/560608388927027.jpg | https://img.olx.com.br/images/77/777652025301386.jpg | https://img.olx.com.br/images/52/527699147073606.jpg | https://img.olx.com.br/images/65/657665626402081.jpg | https://img.olx.com.br/images/34/344630265008136.jpg | https://img.olx.com.br/images/17/177685262547226.jpg | https://img.olx.com.br/images/63/637699501413731.jpg | https://img.olx.com.br/images/44/445620741809125.jpg | https://img.olx.com.br/images/85/857693381841090.jpg | https://img.olx.com.br/images/93/938637140287913.jpg | https://img.olx.com.br/images/16/169644509012563.jpg | https://img.olx.com.br/images/28/286614508588301.jpg | https://img.olx.com.br/images/93/931608147151213.jpg | https://img.olx.com.br/images/44/441628389467584.jpg | https://img.olx.com.br/images/52/529683269780294.jpg
Lotes à Venda  Condomínio Fechado Maanaim Residêncie | Gurugi - Conde PB,https://pb.olx.com.br/paraiba/terrenos/lotes-a-venda-condominio-fechado-maanaim-residencie-gurugi-conde-pb-1485431195,105000.0,Lote,,,,,,,,300.0,"Código do anúncio: 34403 Lotes à Venda  Condomínio Fechado Maanaim Residêncie   A Onde o refúgio e a natureza se entrelaçam para criar o lar dos seus sonhos!  Localização privilegiada: Rodovia 018, km 09  Gurugir    Infraestrutura completa do condomínio: Área de lazer Piscina Quadra esportiva Capela ecumênica Salão de festas Salão de jogos Fazendinha Portaria 24h Segurança privada Câmeras de vigilância Cerca elétrica  Tamanhos dos lotes: 300 m² 540 m² 1.892 m²  Valores a partir de R$ 105.000,00 até R$ 396.200,00   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta: (83) 9. ou (83) 9.  PS Imóveis | CRECI 799-J   CAP: Ana Reis  CRECI 4748  Código do Anúncio: 5296_34403",https://img.olx.com.br/images/51/512601022340334.jpg | https://img.olx.com.br/images/26/268603749665364.jpg | https://img.olx.com.br/images/67/679676504396131.jpg | https://img.olx.com.br/images/76/769603143495998.jpg | https://img.olx.com.br/images/76/762604382816763.jpg
"(APARTAMENTO PORTEIRA FECHADA) 2 quartos à Venda, Cabo Branco - João Pessoa",https://pb.olx.com.br/paraiba/imoveis/apartamento-porteira-fechada-2-quartos-a-venda-cabo-branco-joao-pessoa-1485431192,750000.0,Apartamento,,João Pessoa,PB,58045-010,2.0,,,70.0,"Código do anúncio: 32716 Apartamento a venda.    2 Quartos. Área de 70 m² Sala com varanda, frente mar. Segundo andar, todo mobiliado porteira fechada.   Informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. PS Imóveis | CRECI 799-J cap. Pedro Soares   Código do Anúncio: 5296_32716",https://img.olx.com.br/images/96/961640144349876.jpg | https://img.olx.com.br/images/33/333632140990541.jpg | https://img.olx.com.br/images/24/246605741936502.jpg | https://img.olx.com.br/images/63/633674261431883.jpg | https://img.olx.com.br/images/86/862624028655995.jpg | https://img.olx.com.br/images/10/102635625219515.jpg | https://img.olx.com.br/images/98/986673141364395.jpg | https://img.olx.com.br/images/60/603657742718366.jpg | https://img.olx.com.br/images/52/526686149499691.jpg | https://img.olx.com.br/images/86/866676142200405.jpg | https://img.olx.com.br/images/48/485690748771023.jpg | https://img.olx.com.br/images/85/855624267027423.jpg | https://img.olx.com.br/images/52/523641381187826.jpg | https://img.olx.com.br/images/45/459693743173025.jpg | https://img.olx.com.br/images/47/471693504824139.jpg | https://img.olx.com.br/images/33/331620741883099.jpg | https://img.olx.com.br/images/10/101638028244049.jpg | https://img.olx.com.br/images/47/479623026604092.jpg
"DUPLEX-COBERTURARA COM, 246m² EXCELENTE NO JARDIM OCEANIA",https://pb.olx.com.br/paraiba/imoveis/duplex-coberturara-com-246m-excelente-no-jardim-oceania-1485431166,2580000.0,Cobertura,,João Pessoa,PB,58037-255,3.0,,,246.0,"Código do anúncio: 35065 Duplex - Cobertura em excelente localização no Bairro Jardim Oceania  Área total privativa do imóvel: 246,18 m2  2/ 3 suítes no 9º andar , living completo , lavabo, cozinha serviço e wc serviço; .Andar superior : uma suíte completa no 10° andar , cozinha, terraço com vista para o mar e o parque parahyba1, piscina e deck; Elevadores social e servi Vagas de garagem Posição : Frente nascente e Lateral norte Noondomme do condomínio: tropical varandas   Valor do IPTU: R$ 1.584,00 chegando nos dois andares Valor do cínio: R$ 1.532,35 Valor: R$ 2.580.000,00   As informações e condições deste imóvel, estão sujeitos às alterações sem aviso prévio.  Ligue agora e garanta: PS Imóveis CRECI 779-J . . Cap. Dr. Pedro Soares  Código do Anúncio: 5296_35065",https://img.olx.com.br/images/30/306696864983542.jpg | https://img.olx.com.br/images/87/872606501113469.jpg | https://img.olx.com.br/images/87/874692268373550.jpg | https://img.olx.com.br/images/91/914658269927981.jpg | https://img.olx.com.br/images/10/103641741133306.jpg | https://img.olx.com.br/images/51/510616144087395.jpg | https://img.olx.com.br/images/78/787627024485648.jpg | https://img.olx.com.br/images/30/302656144038411.jpg | https://img.olx.com.br/images/90/902665627804499.jpg | https://img.olx.com.br/images/23/230610509592301.jpg | https://img.olx.com.br/images/76/761636143315284.jpg | https://img.olx.com.br/images/30/302635747620356.jpg | https://img.olx.com.br/images/31/310681743621150.jpg | https://img.olx.com.br/images/87/870619266921759.jpg | https://img.olx.com.br/images/93/931658263760927.jpg | https://img.olx.com.br/images/99/999622029408952.jpg | https://img.olx.com.br/images/15/151620264211175.jpg | https://img.olx.com.br/images/87/873649262669771.jpg | https://img.olx.com.br/images/15/157672627974642.jpg | https://img.olx.com.br/images/33/333672626312953.jpg
"Sala Corporativa de Alto Padrão, Brisamar - João Pessoa",https://pb.olx.com.br/paraiba/comercio-e-industria/sala-corporativa-de-alto-padrao-brisamar-joao-pessoa-1485431139,20000.0,Sala,,João Pessoa,PB,58039-180,,,1.0,75.0,"Código do anúncio: 33546 OPORTUNIDADE NO BAIRRO DO BRISAMAR  SALA CORPORATIVA MOBILIADA -75M² -1 VAGA DE GARAGEM PRIVATIVA As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta: ou  Cap: PEDRO SOARES PS Imóveis | CRECI 799-J   Código do Anúncio: 5296_33546",https://img.olx.com.br/images/28/283617745212947.jpg | https://img.olx.com.br/images/42/427619029447828.jpg | https://img.olx.com.br/images/26/268640141216066.jpg | https://img.olx.com.br/images/32/329649746377132.jpg | https://img.olx.com.br/images/87/878686268913090.jpg | https://img.olx.com.br/images/90/904621146125371.jpg | https://img.olx.com.br/images/33/339641024015808.jpg | https://img.olx.com.br/images/45/452647742759755.jpg | https://img.olx.com.br/images/47/475614383004263.jpg | https://img.olx.com.br/images/95/955601504810327.jpg | https://img.olx.com.br/images/41/417649381647394.jpg
Apartamento para venda com 3 quartos no Residencial Jardim Luna,https://pb.olx.com.br/paraiba/imoveis/apartamento-para-venda-com-3-quartos-no-residencial-jardim-luna-1485431138,720000.0,Apartamento,,João Pessoa,PB,58034-240,3.0,1.0,2.0,90.0,"Código do anúncio: 34034 Excelente oportunidade!   apartamento para venda no Residencial Jardim Luna   Área 90m²; 03 quartos ,sendo 01 suíte; Sala ampla para 02 ambientes com varanda; 01 WC social; Cozinha; Área de serviço; Dependência de empregada com WC; 02 vagas de garagem coberta.   Área de lazer com : Piscina Adulto e infantil, churrasqueira, salão de jogos, salão de festas, mini mercado, espaço Gourmet, Mini quadra poliesportiva, espaço infantil, academia e   Valor do Imóvel: R$ 720.000,00 (Setecentos e vinte mil reais)  A VISTA OU FINANCIAMENTO BANCARIO IPTU: R$ 980,00 TCR: R$ 246,00 Condomínio: R$ 978,00   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou .   CAP:Pedro Soares PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_34034 Este imóvel tem as seguintes características:  Serviços Próximos: Academias de ginástica, Avenida, Banco, Cursinho, Escola 1º Grau, Escola 2º Grau, Faculdade, Farmácia, Hospital, Igreja Católica , Igreja Evangélica, Lojas, Mercado, Panificadora, Posto de Gasolina, Praça/Parque, Praia, Restaurante, Shopping",https://img.olx.com.br/images/63/637631022252962.jpg | https://img.olx.com.br/images/14/145656260874682.jpg | https://img.olx.com.br/images/90/906698866227164.jpg | https://img.olx.com.br/images/92/928621149537522.jpg | https://img.olx.com.br/images/88/883686625723815.jpg | https://img.olx.com.br/images/62/620603262851550.jpg | https://img.olx.com.br/images/92/922688384336300.jpg | https://img.olx.com.br/images/12/120608504560757.jpg | https://img.olx.com.br/images/11/113644861623875.jpg | https://img.olx.com.br/images/19/196638506294942.jpg | https://img.olx.com.br/images/31/315610262541083.jpg | https://img.olx.com.br/images/18/180629748919523.jpg | https://img.olx.com.br/images/18/182638628145752.jpg | https://img.olx.com.br/images/21/214635260035597.jpg | https://img.olx.com.br/images/99/990627382429085.jpg | https://img.olx.com.br/images/65/658631147342782.jpg | https://img.olx.com.br/images/22/224659142035009.jpg | https://img.olx.com.br/images/91/912666388292589.jpg | https://img.olx.com.br/images/35/351648743936176.jpg | https://img.olx.com.br/images/27/279633866914801.jpg
"Apartamento a venda em camboinha, cabedelo",https://pb.olx.com.br/paraiba/imoveis/apartamento-a-venda-em-camboinha-cabedelo-1485431143,380000.0,Apartamento,,Cabedelo,PB,58101-355,3.0,1.0,1.0,83.0,"Código do anúncio: 28767 (Apartamento a venda)   SUPER OPORTUNIDADE!!!!!!!!!!!!   Há 200m do mar.   Apartamento mobiliado.   Área de 83m² 3 Quartos sendo 1 Suíte, Sala para 2 ambientes Cozinha Varanda de frente para o mar, 1 WC social Área de serviço, Dependência Área de lazer Salão de festas 1 vaga de garagem   As informações e condições deste imóvel, estão sujeitos as alterações sem aviso prévio. Ligue agora e garanta:  ou  Cap: alice verissimo PS Imóveis | CRECI 799-J  Código do Anúncio: 5296_28767",https://img.olx.com.br/images/16/163661621431861.jpg | https://img.olx.com.br/images/98/987686867588305.jpg | https://img.olx.com.br/images/85/855697504325264.jpg | https://img.olx.com.br/images/32/323648262027861.jpg | https://img.olx.com.br/images/98/987690509708861.jpg | https://img.olx.com.br/images/84/840673387447995.jpg | https://img.olx.com.br/images/24/241695384219822.jpg | https://img.olx.com.br/images/26/269606147227649.jpg | https://img.olx.com.br/images/91/919607623819981.jpg | https://img.olx.com.br/images/47/479687027542532.jpg | https://img.olx.com.br/images/99/994667140084486.jpg | https://img.olx.com.br/images/27/278699622391687.jpg | https://img.olx.com.br/images/56/566664743322730.jpg | https://img.olx.com.br/images/71/715639747220181.jpg | https://img.olx.com.br/images/16/161662268858637.jpg | https://img.olx.com.br/images/31/313680029981920.jpg | https://img.olx.com.br/images/97/973660627468371.jpg
